DATE,CPI,UNRATE,IMPORTS,EXPORTS,GDP,year,INFLATION,INFLATION_LAGGED,TRADE,TRADE_GDP,UNRATE_c,TRADE_GDP_c,UNRATE_x_TRADE
1966-10-01,32.85,3.7,38.829,42.594,833.302,1966,6.829268292682933,5.7347670250896154,81.423,9.77112739439003,-2.114583333333333,-9.340879344791484,19.752067781173654
1967-01-01,32.9,3.9,39.432,43.886,844.17,1967,6.334841628959276,6.829268292682933,83.31800000000001,9.869812952367415,-1.9145833333333333,-9.242193786814099,17.69495018767116
1967-04-01,33.1,3.8,39.02,43.239,848.983,1967,6.946688206785145,6.334841628959276,82.259,9.689122161456707,-2.0145833333333334,-9.422884577724806,18.9831862222081
1967-07-01,33.4,3.8,39.543,42.845,865.233,1967,7.672469374597024,6.946688206785145,82.388,9.522059375913772,-2.0145833333333334,-9.589947363267742,19.31974812558314
1967-10-01,33.7,4.0,41.652,43.896,881.439,1967,8.290488431876607,7.672469374597024,85.548,9.705492949597193,-1.8145833333333332,-9.40651378958432,17.06890314734988
1968-01-01,34.1,3.7,44.399,45.452,909.387,1968,9.015345268542196,8.290488431876607,89.851,9.880391956339821,-2.114583333333333,-9.231614782841692,19.52101875955066
1968-04-01,34.4,3.5,45.416,47.165,934.344,1968,9.62396430847674,9.015345268542196,92.58099999999999,9.908663190430932,-2.314583333333333,-9.203343548750581,21.30190558887895
1968-07-01,34.9,3.7,48.24,49.891,950.825,1968,10.51298290056999,9.62396430847674,98.131,10.320616306891385,-2.114583333333333,-8.791390432290129,18.590127684946832
1968-10-01,35.3,3.4,48.17,49.116,968.03,1968,11.532385466034745,10.51298290056999,97.286,10.049895147877649,-2.4145833333333333,-9.062111591303864,21.881223613169123
1969-01-01,35.7,3.4,43.804,44.042,993.337,1969,11.982434127979946,11.532385466034745,87.846,8.843524403097842,-2.4145833333333333,-10.268482336083672,24.794106307335365
1969-04-01,36.3,3.4,52.671,53.775,1009.02,1969,12.45353159851299,11.982434127979946,106.446,10.549444014984836,-2.4145833333333333,-8.562562724196678,20.67502124446656
1969-07-01,36.8,3.5,52.365,53.596,1029.956,1969,13.405238828967626,12.45353159851299,105.961,10.287915211911965,-2.314583333333333,-8.824091527269548,20.424095180825972
1969-10-01,37.3,3.7,53.126,56.275,1038.147,1969,13.546423135464213,13.405238828967626,109.401,10.53810298541536,-2.114583333333333,-8.573903753766153,18.13023397931801
1970-01-01,37.9,3.9,53.517,57.031,1051.2,1970,15.197568389057746,13.546423135464213,110.548,10.516362252663622,-1.9145833333333333,-8.595644486517891,16.45707767314571
1970-04-01,38.5,4.6,55.204,60.411,1067.375,1970,16.31419939577039,15.197568389057746,115.61500000000001,10.831713315376508,-1.2145833333333336,-8.280293423805006,10.057106387663165
1970-07-01,38.9,5.0,56.431,60.519,1086.059,1970,16.467065868263475,16.31419939577039,116.94999999999999,10.768291593734777,-0.8145833333333332,-8.343715145446737,6.79665129556182
1970-10-01,39.4,5.5,57.888,60.873,1088.608,1970,16.913946587537087,16.467065868263475,118.761,10.909436638349158,-0.3145833333333332,-8.202570100832355,2.5803918442201774
1971-01-01,39.9,5.9,58.651,63.221,1135.156,1971,17.00879765395893,16.913946587537087,121.872,10.736145516563363,0.08541666666666714,-8.37586122261815,-0.7154381460986377
1971-04-01,40.1,5.9,63.296,62.894,1156.271,1971,16.56976744186047,17.00879765395893,126.19,10.913531516400568,0.08541666666666714,-8.198475222780946,-0.7002864252792097
1971-07-01,40.6,6.0,65.482,65.717,1177.675,1971,16.332378223495713,16.56976744186047,131.199,11.14050990298682,0.18541666666666679,-7.971496836194694,-1.4780483717111004
1971-10-01,40.9,5.8,61.939,60.019,1190.297,1971,15.864022662889532,16.332378223495713,121.958,10.24601423006191,-0.014583333333333393,-8.865992509119604,0.12929572409132808
1972-01-01,41.2,5.8,72.173,68.639,1230.609,1972,15.406162464985984,15.864022662889532,140.812,11.44246466586869,-0.014583333333333393,-7.669542073312824,0.11184748856914581
1972-04-01,41.5,5.7,71.409,67.152,1266.369,1972,14.325068870523427,15.406162464985984,138.561,10.941597591223411,-0.11458333333333304,-8.170409147958102,0.9361927148701967
1972-07-01,41.8,5.6,74.09,71.453,1290.566,1972,13.586956521739136,14.325068870523427,145.543,11.277455008112721,-0.21458333333333357,-7.834551731068792,1.6811642256251802
1972-10-01,42.2,5.6,79.19,76.129,1328.904,1972,13.136729222520117,13.586956521739136,155.31900000000002,11.687751711184555,-0.21458333333333357,-7.424255027996958,1.593121391424349
1973-01-01,42.7,4.9,85.36,83.959,1377.49,1973,12.66490765171504,13.136729222520117,169.31900000000002,12.291849668600136,-0.9145833333333329,-6.820157070581377,6.237601987469215
1973-04-01,43.7,5.0,89.468,91.923,1413.887,1973,13.506493506493511,12.66490765171504,181.39100000000002,12.82924307246619,-0.8145833333333332,-6.282763666715324,5.117834570178523
1973-07-01,44.2,4.8,91.139,97.576,1433.838,1973,13.624678663239088,13.506493506493511,188.71499999999997,13.161528708264111,-1.0145833333333334,-5.950478030917402,6.037255835534948
1973-10-01,45.6,4.6,98.669,107.62,1476.289,1973,15.73604060913707,13.624678663239088,206.289,13.973483511697236,-1.2145833333333336,-5.138523227484278,6.241164670048613
1974-01-01,46.8,5.1,110.315,116.709,1491.209,1974,17.29323308270676,15.73604060913707,227.024,15.224157043043595,-0.7145833333333336,-3.887849696137918,2.7781925953652213
1974-04-01,48.1,5.1,129.382,126.668,1530.056,1974,19.950124688279303,17.29323308270676,256.05,16.734681606424864,-0.7145833333333336,-2.377325132756649,1.698796917782356
1974-07-01,49.3,5.5,133.61,126.638,1560.026,1974,21.42857142857142,19.950124688279303,260.24800000000005,16.68228606446303,-0.3145833333333332,-2.4297206747184816,0.7643496289218554
